,VaR1,VaR5,0,e1,e5
2013-08-30,0.9866785628408058,0.99123302162541427,0.995220353026,False,False
2013-09-03,0.98633969900147878,0.99109297728647083,1.00130147901,False,False
2013-09-04,0.98552960805710121,0.99058829253728575,1.00778141482,False,False
2013-09-05,0.98632118258346702,0.99077414602654779,0.999788122273,False,False
2013-09-06,0.98647396868681581,0.99070244306796718,1.00227888241,False,False
2013-09-09,0.98618795189235398,0.99056912270147102,1.01145464515,False,False
2013-09-10,0.98556933181633222,0.99048379232890615,1.00694926932,False,False
2013-09-11,0.98614198061895375,0.99063307449020188,1.00326824894,False,False
2013-09-12,0.98604943984044735,0.99064178255183843,0.995981256212,False,False
2013-09-13,0.98637327801099184,0.99069913762813977,1.0033528134,False,False
2013-09-16,0.98584854825556967,0.99043040464370813,1.00520762429,False,False
2013-09-17,0.98658191535484641,0.99060382836518956,1.00434267644,False,False
2013-09-18,0.98532865984997287,0.99024481301922607,1.01498706817,False,False
2013-09-19,0.98544512735917866,0.99020257273747669,0.998138227212,False,False
2013-09-20,0.98584852273305412,0.9903556886390239,0.991038869298,False,False
2013-09-23,0.98532240292749917,0.98982162422932696,0.997137538819,False,False
2013-09-24,0.98585956745020831,0.99026148264271852,0.998137267919,False,False
2013-09-25,0.98486378066139524,0.99024200295920695,0.998547601981,False,False
2013-09-26,0.98541348802363693,0.98997040272557579,1.00458247422,False,False
2013-09-27,0.98522971521766856,0.99022054839353013,0.995077783472,False,False
2013-09-30,0.98507712983033791,0.98997858531465277,0.994971743759,False,False
2013-10-01,0.98458586450115138,0.98971687388956486,1.00877050334,False,False
2013-10-02,0.98468473010583002,0.98942763188436678,0.999690580325,False,False
2013-10-03,0.98450625853817575,0.98959373943261997,0.990198278956,False,False
2013-10-04,0.98484184274872588,0.98980017367315631,1.00625701393,False,False
2013-10-07,0.98530991969589943,0.9898444304377787,0.993102570045,False,False
2013-10-08,0.98470058747845524,0.9895259429517469,0.987809899331,False,True
2013-10-09,0.98447245203551137,0.98955647052392581,1.00000696412,False,False
2013-10-10,0.9846654957165778,0.98951746716260247,1.02137286645,False,False
2013-10-11,0.98451865074661093,0.9894162587097971,1.00728271877,False,False
2013-10-14,0.98390732395207892,0.98916646208175152,1.00265865203,False,False
2013-10-15,0.98394380818736227,0.9893711292124181,0.99304918175,False,False
2013-10-16,0.98515874017508642,0.98990275103536218,1.01361654056,False,False
2013-10-17,0.9846587246347166,0.98945329765448398,1.00984104132,False,False
2013-10-18,0.98556246302769268,0.98978660080825831,1.00604899568,False,False
2013-10-21,0.98487264000258889,0.98977245890375232,0.999127039152,False,False
2013-10-22,0.98525897130448914,0.98993728810517667,1.0070323176,False,False
2013-10-23,0.98521295111255169,0.98995493432774762,0.995876370318,False,False
2013-10-24,0.98469180539356815,0.98983324896899305,1.00315596435,False,False
2013-10-25,0.98486910401159888,0.99001875777165027,1.00459243935,False,False
2013-10-28,0.98522431594171278,0.99005426639767502,0.999594182735,False,False
2013-10-29,0.98547281184370727,0.98993084916602481,1.00428904011,False,False
2013-10-30,0.98534516380056303,0.9901495817154069,0.993933327717,False,False
2013-10-31,0.98483527036568375,0.98987737872065062,0.99646283628,False,False
2013-11-01,0.98482094118287844,0.98977570823159244,1.00161469628,False,False
2013-11-04,0.985945512879848,0.99023955358195526,1.00511002554,False,False
2013-11-05,0.98539575758094222,0.99037349895928273,0.995137075007,False,False
2013-11-06,0.98536657203902478,0.99025452346059795,1.00346002812,False,False
2013-11-07,0.98623496375834274,0.9901863428805795,0.985636683061,True,True
2013-11-08,0.98615702556522955,0.99061416574373018,1.00975040879,False,False
2013-11-11,0.98571602779012346,0.99011509210682513,1.00054886738,False,False
2013-11-12,0.98575143140409149,0.99026833917590251,0.997201898108,False,False
2013-11-13,0.9858544456482623,0.99035302459764185,1.0075559741,False,False
2013-11-14,0.98593813099208671,0.99032583499762772,1.00474489101,False,False
2013-11-15,0.98588309510281003,0.99054839460731525,1.00437774535,False,False
2013-11-18,0.98650038044476718,0.99071235373517974,0.995366802658,False,False
2013-11-19,0.9868493227667029,0.99080032578552646,0.99639453689,False,False
2013-11-20,0.98629204394681125,0.99059599180484437,0.994970019305,False,False
2013-11-21,0.9867971444511825,0.9907296704476547,1.00799201357,False,False
2013-11-22,0.98652735053113361,0.99079710432677937,1.00324140324,False,False
2013-11-25,0.98702238591854385,0.99094078727173418,0.997365689884,False,False
2013-11-26,0.98760975907073911,0.99133793539109027,1.00026999646,False,False
2013-11-27,0.98733153446477351,0.99119325147333615,1.0026622349,False,False
2013-11-29,0.98885573547010508,0.99204714018545803,0.998572400176,False,False
2013-12-02,0.98889516191300064,0.99206829132416663,0.996138177526,False,False
2013-12-03,0.98906462272818363,0.9922636391193862,0.997529301774,False,False
2013-12-04,0.98866872176763332,0.9920036736460639,0.999958783182,False,False
